ticker,company_name,listing_date,website
ABDA,PT Asuransi Bina Dana Arta Tbk,2010-12-05,https://www.myoona.id/
AADI,PT Adaro Andalan Indonesia Tbk,2024-12-05,https://www.adaroindonesia.com/
AALI,Astra Agro Lestari Tbk,1997-12-09,http://www.astra-agro.co.id
ABBA,Mahaka Media Tbk,2002-04-03,https://www.mahakax.com
ABMM,ABM Investama Tbk,2011-12-06,https://www.abm-investama.com
ACES,PT Aspirasi Hidup Indonesia Tbk,2007-11-06,https://ahi.id
ACRO,PT Samcro Hyosung Adilestari Tbk.,2024-01-11,https://samcro.co.com
ACST,PT Acset Indonusa Tbk.,2013-06-24,https://www.acset.co
ADCP,PT Adhi Commuter Properti Tbk,2021-05-21,https://adcp.co.com
ADES,Akasha Wira International Tbk  Tbk,1994-06-13,https://www.akashainternational.com
ADHI,PT Adhi Karya (Persero) Tbk.,2004-03-18,https://www.adhi.co.id
ADMF,Adira Dinamika Multi Finance Tbk,2004-03-31,https://www.adira.co.id
ADRO,PT Adaro Energy Indonesia Tbk,2008-07-16,https://www.adaro.com
AEGS,PT Anugerah Spareparts Sejahtera Tbk.,2023-09-11,https://www.aegisfilter.co.id
